2021-06-03 04:21:42,985 - base.py[line:15] - INFO - [base]:正在获取初始化driver对象：<selenium.webdriver.firefox.webdriver.WebDriver (session="4ae5fcd0-c17f-43b9-9d42-028560d6a519")>
2021-06-03 04:21:42,988 - base.py[line:15] - INFO - [base]:正在获取初始化driver对象：<selenium.webdriver.firefox.webdriver.WebDriver (session="4ae5fcd0-c17f-43b9-9d42-028560d6a519")>
2021-06-03 04:21:42,988 - page_login.py[line:73] - INFO - [page_login]:正在执行登录操作 用户名：15062281268，密码：123456，验证码：8888
2021-06-03 04:21:42,988 - base.py[line:53] - INFO - [base:]:('partial link text', '安全退出')元素查找成功
2021-06-03 04:21:42,988 - base.py[line:20] - INFO - [base:]:正在定位:('partial link text', '安全退出')元素，定位位超时时间：2
2021-06-03 04:21:46,753 - base.py[line:57] - INFO - [base:]:('partial link text', '安全退出')元素查找失败
2021-06-03 04:21:46,753 - page_login.py[line:16] - INFO - [page_login]:执行:('partial link text', '登录')点击链接操作
2021-06-03 04:21:46,753 - base.py[line:25] - INFO - [base:]:正在对:('partial link text', '登录')元素，进行点击
2021-06-03 04:21:46,754 - base.py[line:20] - INFO - [base:]:正在定位:('partial link text', '登录')元素，定位位超时时间：30
2021-06-03 04:21:52,491 - page_login.py[line:21] - INFO - [page_login]:对('css selector', '#username')元素输入用户名：15062281268操作
2021-06-03 04:21:52,491 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '#username')元素，定位位超时时间：30
2021-06-03 04:21:54,014 - base.py[line:33] - INFO - [base:]:正在对:('css selector', '#username')元素，进行清空操作
2021-06-03 04:21:54,053 - page_login.py[line:26] - INFO - [page_login]:对('css selector', '#password')元素输入密码：123456操作
2021-06-03 04:21:54,054 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '#password')元素，定位位超时时间：30
2021-06-03 04:21:54,072 - base.py[line:33] - INFO - [base:]:正在对:('css selector', '#password')元素，进行清空操作
2021-06-03 04:21:54,094 - page_login.py[line:31] - INFO - [page_login]:对('css selector', '#verify_code')元素输入验证码：8888操作
2021-06-03 04:21:54,095 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '#verify_code')元素，定位位超时时间：30
2021-06-03 04:21:54,099 - base.py[line:33] - INFO - [base:]:正在对:('css selector', '#verify_code')元素，进行清空操作
2021-06-03 04:21:54,120 - base.py[line:25] - INFO - [base:]:正在对:('css selector', '.J-login-submit')元素，进行点击
2021-06-03 04:21:54,120 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '.J-login-submit')元素，定位位超时时间：30
2021-06-03 04:22:03,659 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '#q')元素，定位位超时时间：30
2021-06-03 04:22:03,667 - base.py[line:33] - INFO - [base:]:正在对:('css selector', '#q')元素，进行清空操作
2021-06-03 04:22:03,681 - base.py[line:25] - INFO - [base:]:正在对:('css selector', '.ecsc-search-button')元素，进行点击
2021-06-03 04:22:03,681 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '.ecsc-search-button')元素，定位位超时时间：30
2021-06-03 04:22:09,421 - base.py[line:25] - INFO - [base:]:正在对:('css selector', '.p-btn>a')元素，进行点击
2021-06-03 04:22:09,421 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '.p-btn>a')元素，定位位超时时间：30
2021-06-03 04:22:12,173 - base.py[line:25] - INFO - [base:]:正在对:('css selector', '#join_cart')元素，进行点击
2021-06-03 04:22:12,174 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '#join_cart')元素，定位位超时时间：30
2021-06-03 04:22:34,536 - base.py[line:41] - INFO - [base:]:正在对:('css selector', '.conect-title>span')元素，获取文本
2021-06-03 04:22:34,537 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '.conect-title>span')元素，定位位超时时间：30
2021-06-03 04:22:34,551 - base.py[line:25] - INFO - [base:]:正在对:('css selector', '.layui-layer-close')元素，进行点击
2021-06-03 04:22:34,551 - base.py[line:20] - INFO - [base:]:正在定位:('css selector', '.layui-layer-close')元素，定位位超时时间：30
